mangled,demangled,signature,address
_ZN5Actor22shouldTryMakeStepSoundEv,Actor::shouldTryMakeStepSound(void),__int64 __fastcall sub_24D28AC(__int64 a1),0x24D28AC
_ZNK5Actor16canMakeStepSoundEv,Actor::canMakeStepSound(void),__int64 __fastcall sub_24D28A4(__int64 a1),0x24D28A4
_ZN5Actor10outOfWorldEv,Actor::outOfWorld(void),__int64 __fastcall sub_24D9400(__int64 a1),0x24D9400
_ZN5Actor5_hurtERK17ActorDamageSourceibb,"Actor::_hurt(ActorDamageSource const&,int,bool,bool)",__int64 __fastcall sub_24DA5FC(__int64 a1),0x24DA5FC
_ZN5Actor8markHurtEv,Actor::markHurt(void),__int64 __fastcall sub_24DA394(__int64 a1),0x24DA394
_ZN5Actor22readAdditionalSaveDataERK11CompoundTagR14DataLoadHelper,"Actor::readAdditionalSaveData(CompoundTag const&,DataLoadHelper &)",__int64 __fastcall sub_24CEA6C(__int64 a1),0x24CEA6C
_ZN5Actor21addAdditionalSaveDataER11CompoundTag,Actor::addAdditionalSaveData(CompoundTag &),__int64 __fastcall sub_24CF31C(__int64 a1),0x24CF31C
_ZN5Actor14_playStepSoundERK8BlockPosRK5Block,"Actor::_playStepSound(BlockPos const&,Block const&)",__int64 __fastcall sub_24E7AD8(__int64 a1),0x24E7AD8
_ZN5Actor13_playFlySoundERK8BlockPosRK5Block,"Actor::_playFlySound(BlockPos const&,Block const&)",__int64 __fastcall sub_24E7CE4(__int64 a1),0x24E7CE4
_ZNK5Actor13_makeFlySoundEv,Actor::_makeFlySound(void),__int64 __fastcall sub_24E7DCC(__int64 a1),0x24E7DCC
_ZN5Actor17checkInsideBlocksEf,Actor::checkInsideBlocks(float),__int64 __fastcall sub_24EAA84(__int64 a1),0x24EAA84
_ZN5Actor15pushOutOfBlocksERK4Vec3,Actor::pushOutOfBlocks(Vec3 const&),__int64 __fastcall sub_24EABE0(__int64 a1),0x24EABE0
_ZN5Actor16updateWaterStateEv,Actor::updateWaterState(void),__int64 __fastcall sub_24EB12C(__int64 a1),0x24EB12C
_ZN5Actor19doWaterSplashEffectEv,Actor::doWaterSplashEffect(void),__int64 __fastcall sub_7E3DF58(__int64 a1),0x7E3DF58
_ZN5Actor17spawnTrailBubblesEv,Actor::spawnTrailBubbles(void),__int64 __fastcall sub_24EB900(__int64 a1),0x24EB900
_ZN5Actor17updateInsideBlockEv,Actor::updateInsideBlock(void),__int64 __fastcall sub_24EBEF8(__int64 a1),0x24EBEF8
_ZN5Actor12getLootTableEv,Actor::getLootTable(void),__int64 __fastcall sub_24F0448(__int64 a1),0x24F0448
_ZN5Actor19getDefaultLootTableEv,Actor::getDefaultLootTable(void),__int64 __fastcall sub_1E56F60(__int64 a1),0x1E56F60
_ZN5Actor12_removeRiderERK13ActorUniqueIDbbb,"Actor::_removeRider(ActorUniqueID const&,bool,bool,bool)",__int64 __fastcall sub_24D841C(__int64 a1),0x24D841C
_ZN5Actor14_onSizeUpdatedEv,Actor::_onSizeUpdated(void),__int64 __fastcall sub_1302(__int64 a1),0x1302
_ZN5Actor20_doAutoAttackOnTouchERS_,Actor::_doAutoAttackOnTouch(Actor&),__int64 __fastcall sub_7811(__int64 a1),0x7811
